info: listening on 127.0.0.1:8080
info(Server): 127.0.0.1:60948 deinit in write
info(Server): 127.0.0.1:60954 deinit in write
info(Server): 127.0.0.1:60958 deinit in write
info(Server): 127.0.0.1:60968 deinit in write
info(Server): 127.0.0.1:60832 deinit in write
info(Server): 127.0.0.1:60840 deinit in write
info(Server): 127.0.0.1:60846 deinit in write
info(Server): 127.0.0.1:60986 deinit in write
info(Server): 127.0.0.1:32782 deinit in write
info(Server): 127.0.0.1:32774 deinit in write
info(Server): 127.0.0.1:60982 deinit in write
info(Server): 127.0.0.1:32814 deinit in write
info(Server): 127.0.0.1:32824 deinit in write
info(Server): 127.0.0.1:32790 deinit in write
info(Server): 127.0.0.1:32840 deinit in write
info(Server): 127.0.0.1:60994 deinit in write
info(Server): 127.0.0.1:32802 deinit in write
info(Server): 127.0.0.1:32864 deinit in write
info(Server): 127.0.0.1:32878 deinit in write
info(Server): 127.0.0.1:32890 deinit in write
info(Server): 127.0.0.1:32898 deinit in write
info(Server): 127.0.0.1:32904 deinit in write
info(Server): 127.0.0.1:32908 deinit in write
info(Server): 127.0.0.1:32918 deinit in write
info(Server): 127.0.0.1:32922 deinit in write
info(Server): 127.0.0.1:32930 deinit in write
info(Server): 127.0.0.1:32842 deinit in write
info(Server): 127.0.0.1:32852 deinit in write
info(Server): 127.0.0.1:32858 deinit in write
info(Server): 127.0.0.1:32954 deinit in write
info(Server): 127.0.0.1:32978 deinit in write
info(Server): 127.0.0.1:32994 deinit in write
info(Server): 127.0.0.1:33010 deinit in write
info(Server): 127.0.0.1:33022 deinit in write
info(Server): 127.0.0.1:32976 deinit in write
info(Server): 127.0.0.1:32942 deinit in write
info(Server): 127.0.0.1:32968 deinit in write
info(Server): 127.0.0.1:33036 deinit in write
info(Server): 127.0.0.1:33044 deinit in write
info(Server): 127.0.0.1:33090 deinit in write
info(Server): 127.0.0.1:33060 deinit in write
info(Server): 127.0.0.1:33100 deinit in write
info(Server): 127.0.0.1:33074 deinit in write
info(Server): 127.0.0.1:33066 deinit in write
info(Server): 127.0.0.1:33110 deinit in write
info(Server): 127.0.0.1:33112 deinit in write
info(Server): 127.0.0.1:33122 deinit in write
info(Server): 127.0.0.1:33136 deinit in write
info(Server): 127.0.0.1:33168 deinit in write
info(Server): 127.0.0.1:33184 deinit in write
info(Server): 127.0.0.1:33194 deinit in write
info(Server): 127.0.0.1:33202 deinit in write
info(Server): 127.0.0.1:33204 deinit in write
info(Server): 127.0.0.1:33226 deinit in write
info(Server): 127.0.0.1:33124 deinit in write
info(Server): 127.0.0.1:33212 deinit in write
info(Server): 127.0.0.1:33220 deinit in write
info(Server): 127.0.0.1:33208 deinit in write
info(Server): 127.0.0.1:33248 deinit in write
info(Server): 127.0.0.1:33258 deinit in write
info(Server): 127.0.0.1:33272 deinit in write
info(Server): 127.0.0.1:33276 deinit in write
info(Server): 127.0.0.1:33288 deinit in write
info(Server): 127.0.0.1:33302 deinit in write
info(Server): 127.0.0.1:33144 deinit in write
info(Server): 127.0.0.1:33158 deinit in write
info(Server): 127.0.0.1:33334 deinit in write
info(Server): 127.0.0.1:33318 deinit in write
info(Server): 127.0.0.1:33322 deinit in write
info(Server): 127.0.0.1:33236 deinit in write
info(Server): 127.0.0.1:33342 deinit in write
info(Server): 127.0.0.1:33374 deinit in write
info(Server): 127.0.0.1:33378 deinit in write
info(Server): 127.0.0.1:33356 deinit in write
info(Server): 127.0.0.1:33388 deinit in write
info(Server): 127.0.0.1:33390 deinit in write
info(Server): 127.0.0.1:33402 deinit in write
info(Server): 127.0.0.1:33404 deinit in write
